happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,location,indicator,subject,measure,frequency,time,value,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,ISR,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,264.625909676567,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
7.403,1.942,1.488,0.545,0.672,0.251,0.394,Europe,3.7,1.8,2.06,48.65,7.0,101.0,2386.0,45337.0,14.4,NLD,Europe,Northern Hemisphere,Very High,,10.0,2021.0,18.69316522,,,,,,,,17.0,NLD,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.2,11.234621676523362,52.004775125,5.258116999426606,0.0
7.395,1.921,1.51,0.562,0.754,0.225,0.52,Europe,5.0,2.5,2.0,50.0,25.0,98.0,3419.0,49535.0,9.9,SWE,Europe,Northern Hemisphere,Very High,,7.0,2021.0,19.41852951,,,,,,,,24.0,SWE,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.1,8.108048637179675,58.0972528125,15.3064039,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,142.993997539827,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,113.463541589613,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,108.946386486506,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,28.3526869896324,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,13.6095760307464,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,PIG,KG_CAP,A,2023.0,19.9042645849053,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,17.8185653157038,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.315,1.994,1.521,0.544,0.752,0.212,0.463,Europe,4.3,1.9,2.26,44.19,24.0,98.0,5436.0,75130.0,9.1,NOR,Europe,Northern Hemisphere,Very High,,2.0,2021.0,18.18519974,NOR,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,4.45256862180229,19.0,NOR,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.1,5.653297165789233,64.76921090833333,11.73586086915479,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,165.278889306534,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,253.4001,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,11.3666766666667,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,146.143269615004,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,13.0787113777249,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,PIG,KG_CAP,A,2023.0,22.3434851084187,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,14.5382128091658,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,CHE,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,1.13074768854093,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
7.228,2.2,1.357,0.549,0.71,0.149,0.418,Europe,2.9,2.3,1.26,79.31,11.0,100.0,3665.0,71296.0,14.7,LUX,Europe,Northern Hemisphere,Very High,,17.0,2021.0,14.39813995,,,,,,,,15.0,LUX,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.0,10.421872973704968,49.7401833,6.14492695,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,11.3790013550005,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,PIG,KG_CAP,A,2023.0,19.2212805338723,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,39.6638635243521,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,4.38841643234645,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,223.34955927938,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,80.5524707749676,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,24.7114322460593,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.123,1.842,1.544,0.513,0.672,0.23,0.471,Oceania,4.8,2.0,2.4,41.67,22.0,99.0,2083.0,30141.0,17.4,NZL,Oceania,Southern Hemisphere,Very High,,13.0,2021.0,20.28388977,NZL,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,122.112598090352,18.0,NZL,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.8,13.62575760152399,-40.819357471428575,173.9538737,0.0
7.097,1.927,1.382,0.535,0.63,0.191,0.31,Europe,5.3,1.8,2.94,33.96,20.0,99.0,2341.0,42635.0,13.2,AUT,Europe,Northern Hemisphere,Very High,,25.0,2021.0,16.00795937,,,,,,,,0.0,AUT,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.6,10.599982888446604,47.53931634285714,13.513017128571429,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,18.4874017922009,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,PIG,KG_CAP,A,2023.0,22.6072804059422,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,44.5113703338862,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,7.20039143386479,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,761.885261477224,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,215.084586249415,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,1329.60961353176,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,AUS,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,694.246491935462,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,16.9212633279307,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,PIG,KG_CAP,A,2023.0,15.6900512104963,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,34.3143184604227,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,0.922040819551859,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,1502.68082088544,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,40.3989052243408,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,775.589424625686,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,CAN,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,932.044964185651,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
6.911,2.152,1.425,0.539,0.656,0.186,0.409,Europe,4.6,0.7,6.57,15.22,34.0,95.0,2500.0,43903.0,13.2,IRL,Europe,Northern Hemisphere,Very High,,8.0,2021.0,18.94522095,,,,,,,,11.0,IRL,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.8,10.680518902818624,52.80929555,-7.983132,0.0
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,BEEF,KG_CAP,A,2023.0,27.0707529401,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,PIG,KG_CAP,A,2023.0,23.3757796235367,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,POULTRY,KG_CAP,A,2023.0,49.5815322108258,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,SHEEP,KG_CAP,A,2023.0,0.427255925800263,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,BEEF,THND_TONNE,A,2023.0,13091.5597515129,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,SHEEP,THND_TONNE,A,2023.0,164.359389580015,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,PIG,THND_TONNE,A,2023.0,10145.1996612887,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.894,1.98,1.46,0.39,0.557,0.21,0.172,North America,5.1,2.3,2.22,45.1,29.0,97.0,2608.0,49883.0,18.8,USA,America,Northern Hemisphere,Very High,,21.0,2021.0,16.28097916,USA,MEATCONSUMP,POULTRY,THND_TONNE,A,2023.0,19073.3232157039,28.0,USA,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.0,,,,
6.892,1.919,1.401,0.539,0.618,0.153,0.365,Europe,4.9,1.9,2.58,38.78,13.0,100.0,1883.0,39911.0,13.8,DEU,Europe,Northern Hemisphere,Very High,,9.0,2021.0,17.01013947,,,,,,,,7.0,DEU,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.6,10.79305122715033,51.4431847,10.322773529616402,0.0
6.859,1.907,1.449,0.528,0.59,0.137,0.273,Europe,3.9,2.1,1.86,53.85,23.0,98.0,2507.0,40526.0,14.8,BEL,Europe,Northern Hemisphere,Very High,,13.0,2021.0,19.60421944,,,,,,,,1.0,BEL,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.2,19.222634206548808,50.957360050000005,4.7205472,0.0
