ISO3,country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),year,Expected Years of Schooling,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2015,14.94668007,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2015,15.99201965,Middle East and North Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2015,13.94284,Central and Eastern Europe,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2015,13.97757244,Latin America and Caribbean,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2015,15.36513042,Latin America and Caribbean,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2015,12.32254684,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2015,15.89140034,North America and ANZ,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2015,16.19400978,Western Europe,7.587,1.39651,1.34951,0.94143,0.66557,0.29678,0.41978
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2015,16.36503983,Latin America and Caribbean,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2015,13.47687006,East Asia,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2015,8.892459869,Sub-Saharan Africa,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2015,12.15102959,Sub-Saharan Africa,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2015,14.29211044,Latin America and Caribbean,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2015,15.23608017,Latin America and Caribbean,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2015,16.78933907,Western Europe,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2015,19.23700905,Western Europe,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2015,14.0928297,Latin America and Caribbean,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2015,14.43048545,Middle East and North Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2015,15.19845009,Latin America and Caribbean,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2015,12.93128538,Middle East and North Africa,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2015,17.47447014,Western Europe,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2015,16.11494064,Central and Eastern Europe,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2015,8.918518663,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2015,19.31862068,Western Europe,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2015,15.42269993,Western Europe,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2015,12.68911053,Sub-Saharan Africa,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2015,17.32865906,Western Europe,6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2015,14.46463966,Central and Eastern Europe,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,2015,11.55659962,Sub-Saharan Africa,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,2015,9.163121769,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,2015,18.26951504,Western Europe,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,2015,10.75267982,Latin America and Caribbean,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,2015,9.911664501,Latin America and Caribbean,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,2015,15.22484016,Central and Eastern Europe,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,2015,15.21959972,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,2015,13.33804035,Southeast Asia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,2015,11.94699955,South Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,2015,18.70903015,Western Europe,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,2015,14.87814045,Middle East and North Africa,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,2015,11.565888,Middle East and North Africa,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,2015,19.34770012,Western Europe,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,2015,16.17112923,Middle East and North Africa,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,2015,16.03336906,Western Europe,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,2015,13.11725511,Latin America and Caribbean,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,2015,10.54055786,Middle East and North Africa,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,2015,15.16511414,East Asia,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,2015,15.11816025,Commonwealth of Independent States,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,2015,10.52415263,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,2015,12.96702957,Commonwealth of Independent States,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,2015,11.23635395,Southeast Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,2015,16.60309982,East Asia,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,2015,11.14674,Middle East and North Africa,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,2015,10.05143706,Sub-Saharan Africa,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,2015,13.87385337,South Asia,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,2015,16.4450798,Central and Eastern Europe,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,2015,14.06476974,Western Europe,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,2015,15.83139992,Central and Eastern Europe,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,2015,12.81585178,Middle East and North Africa,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,2015,14.06091022,Central and Eastern Europe,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,2015,10.56871033,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,2015,14.19680977,Latin America and Caribbean,7.187,1.02054,0.91451,0.81444,0.48181,0.14074,0.21312
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,2015,13.32861996,Central and Eastern Europe,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,2015,7.347839832,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,2015,15.70611954,Western Europe,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,2015,9.999287605,Southeast Asia,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,2015,14.92640305,Central and Eastern Europe,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,2015,14.8045454,East Asia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,2015,9.02560997,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,2015,15.05727005,Sub-Saharan Africa,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,2015,11.76160417,Sub-Saharan Africa,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,2015,13.66390991,Southeast Asia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,2015,5.918089867,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,2015,9.399784948,Sub-Saharan Africa,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,2015,11.82682458,Latin America and Caribbean,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,2015,18.08009911,Western Europe,7.378,1.32944,1.28017,0.89284,0.61576,0.4761,0.31814
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,2015,17.78388977,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,2015,12.65250969,South Asia,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,2015,18.86964989,North America and ANZ,7.286,1.25018,1.31967,0.90837,0.63938,0.47501,0.42922
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,2015,7.584290028,South Asia,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,2015,12.70656967,Latin America and Caribbean,6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,2015,14.65704384,Latin America and Caribbean,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,2015,12.82507992,Southeast Asia,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,2015,16.01518949,Central and Eastern Europe,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,2015,16.44728088,Western Europe,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,2015,12.99628522,Latin America and Caribbean,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,2015,14.63422012,Central and Eastern Europe,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,2015,15.77921132,Middle East and North Africa,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,2015,9.270440102,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,2015,16.1,Southeast Asia,6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,2015,9.321291966,Sub-Saharan Africa,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,2015,12.56406608,Latin America and Caribbean,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,2015,14.55158043,Central and Eastern Europe,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,2015,14.67733955,Central and Eastern Europe,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,2015,17.29199028,Central and Eastern Europe,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,2015,18.5685997,Western Europe,7.364,1.33171,1.28907,0.91087,0.6598,0.36262,0.43844
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,2015,7.349349976,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,2015,12.49199009,Sub-Saharan Africa,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,2015,15.56759501,Southeast Asia,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,2015,11.47789213,Commonwealth of Independent States,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,2015,14.8910799,Middle East and North Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,2015,8.528679848,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,2015,10.66294882,Sub-Saharan Africa,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,2015,14.88242753,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,2015,16.34380913,Latin America and Caribbean,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558
USA,United States,America,Northern Hemisphere,Very High,,21.0,2015,16.1919899,North America and ANZ,7.119,1.39451,1.24711,0.86179,0.54604,0.40105,0.1589
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,2015,11.75932026,Commonwealth of Independent States,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,2015,13.97333,Latin America and Caribbean,6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,2015,14.00878525,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,2015,10.92718161,Sub-Saharan Africa,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,2015,11.6023722,Sub-Saharan Africa,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180.0,2016,10.1859498,South Asia,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67.0,2016,14.80459976,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26.0,2016,13.42131042,Middle East and North Africa,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47.0,2016,17.66885948,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85.0,2016,13.00150331,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5.0,2016,22.74729919,North America and ANZ,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
AUT,Austria,Europe,Northern Hemisphere,Very High,,25.0,2016,16.08119011,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13.0,2016,19.69990921,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166.0,2016,12.61454964,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184.0,2016,8.525589943,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129.0,2016,11.30139267,South Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68.0,2016,14.64490986,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35.0,2016,16.34917068,Middle East and North Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74.0,2016,13.86522667,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0.0
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118.0,2016,14.49550819,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
BRA,Brazil,America,Southern Hemisphere,High,LAC,87.0,2016,15.45316982,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117.0,2016,12.3081694,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769
CAN,Canada,America,Northern Hemisphere,Very High,,15.0,2016,16.00966072,North America and ANZ,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1.0,2016,16.24938011,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42.0,2016,16.41803932,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
CHN,China,Asia,Northern Hemisphere,High,EAP,79.0,2016,13.68710003,East Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159.0,2016,9.4792099,Sub-Saharan Africa,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151.0,2016,12.10426044,Sub-Saharan Africa,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126
COL,Colombia,America,Northern Hemisphere,High,LAC,88.0,2016,14.41985989,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58.0,2016,15.4200201,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,2016,16.87524033,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,2016,19.06605911,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,2016,14.14081955,Latin America and Caribbean,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,2016,14.47958809,Middle East and North Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,2016,15.07669004,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,2016,13.12530041,Middle East and North Africa,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,2016,17.54027939,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,2016,16.06361961,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,2016,9.096271752,Sub-Saharan Africa,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,2016,19.31543922,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,2016,15.52842999,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,2016,12.75130526,Sub-Saharan Africa,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,2016,17.41354465,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,2016,14.68717003,Central and Eastern Europe,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188
